Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
82,N6MM,440.52500,+,5.00000,Tone,110.9,88.5,023,NN,FM,5,"Newark, City by the bay",
83,N6LEX,440.52500,+,5.00000,Tone,146.2,88.5,023,NN,FM,5,"Soledad",
84,KB6LCS,440.52500,+,5.00000,Tone,136.5,88.5,023,NN,FM,5,"Vacaville",
85,WB6RHC,440.55000,+,5.00000,,88.5,88.5,023,NN,FM,5,"Chico",
86,W6RV,440.55000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"San Anselmo",
87,AB6VS,440.55000,+,5.00000,Tone,94.8,88.5,023,NN,FM,5,"Santa Cruz",
88,KE6KUA,440.55000,+,5.00000,Tone,114.8,88.5,023,NN,FM,5,"Twain Harte",
89,W6EK,440.57500,+,5.00000,Tone,162.2,88.5,023,NN,FM,5,"Auburn",
90,KA6ZRJ,440.57500,+,5.00000,Tone,114.8,88.5,023,NN,FM,5,"Morgan Hill",
91,W6EBW,440.57500,+,5.00000,Tone,118.8,88.5,023,NN,FM,5,"Oakland",
92,KI6FEO,440.60000,+,5.00000,Tone,107.2,88.5,023,NN,FM,5,"Livermore, Cedar Ridge",
93,K6HN,440.60000,+,5.00000,,88.5,88.5,023,NN,FM,5,"South San Francisco",
94,WA6HAM,440.62500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Orinda",
95,W6SLZ,440.62500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Tehachapi, Tehachapi Mountains",
96,KC6WYA,440.65000,+,5.00000,Tone,127.3,88.5,023,NN,FM,5,"Antioch",
97,W6RHC,440.65000,+,5.00000,Tone,110.9,88.5,023,NN,FM,5,"Chico",
98,N6TRB,440.65000,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Danville",
99,KC6TYG,440.65000,+,5.00000,Tone,94.8,88.5,023,NN,FM,5,"Los Gatos",
100,KG6MZV,440.65000,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Novato",
101,N6EJX,440.67500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Chico",
102,W6EMS,440.67500,+,5.00000,Tone,146.2,88.5,023,NN,FM,5,"Coalinga, Santa Rita Peak",
103,K6TEA,440.67500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Daly City",
104,K6CV,440.70000,+,5.00000,Tone,123.0,88.5,023,NN,FM,5,"Brisbane",
105,WA6BTH,440.70000,+,5.00000,Tone,123.0,88.5,023,NN,FM,5,"Placerville",
106,W6RTF,440.70000,+,5.00000,Tone,100.0,100.0,023,NN,Auto,5,"Salinas",
107,W6SAR,440.70000,+,5.00000,Tone,131.8,131.8,023,NN,FM,5,"Truckee, Donner Peak",
108,WB6HEV,440.72500,+,5.00000,Tone,162.2,88.5,023,NN,FM,5,"Fair Oaks",
109,WA6AFT,440.72500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Pacifica",
110,K6JKL,440.75000,+,5.00000,Tone,114.8,88.5,023,NN,FM,5,"Coalinga",
111,K6LNK,440.75000,+,5.00000,Tone,173.8,107.2,023,NN,FM,5,"Vacaville, Mt Vaca",
112,N6BLA,440.77500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Concord",
113,N6LYE,440.80000,+,5.00000,Tone,114.8,114.8,23,NN,P25,5,"Mariposa, Mt Bullion",
114,N6LYE,440.80000,+,5.00000,Tone,107.2,88.5,23,NN,P25,5,"Modesto, Mt Oso",
115,W6ASH,440.80000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Mountain View, El Camino Hospital ",
116,WB6IXH,440.82500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Berkeley",
117,W6KGB,440.82500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Porterville, Jordan Peak",
118,N6LYE,440.83750,+,5.00000,Tone,114.8,114.8,23,NN,P25,5,"Mariposa, Mt Bullion",
119,KE6CUW,440.85000,+,5.00000,Tone,141.3,88.5,023,NN,FM,5,"Bakersfield",
120,K6DEL,440.85000,+,5.00000,Tone,146.2,88.5,023,NN,FM,5,"Columbia",
121,N6NAR,440.85000,+,5.00000,Tone,173.8,88.5,023,NN,FM,5,"Napa",
122,W6JWS,440.85000,+,5.00000,Tone,94.8,88.5,023,NN,FM,5,"Santa Cruz",
123,WA6HAM,440.87500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Concord",
124,KH6N,440.87500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Los Altos",
125,KM6IRY,440.87500,+,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Manteca",
126,WA2UNP,440.90000,+,5.00000,Tone,131.8,88.5,023,NN,FM,5,"Berkeley",
127,N6GVI,440.90000,+,5.00000,,88.5,88.5,023,NN,FM,5,"Mountain Ranch",
128,KI6KGN,440.90000,+,5.00000,,88.5,141.3,023,NN,FM,5,"Newark",
129,W6SCR,440.90000,+,5.00000,Tone,110.9,88.5,023,NN,FM,5,"Oroville",
130,KH8AF,440.92500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Berkeley",
131,KH8AF,440.92500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Novato",
132,KH8AF,440.92500,+,5.00000,,88.5,88.5,023,NN,FM,5,"San Rafael",
133,K6BJ,440.92500,+,5.00000,Tone,123.0,88.5,023,NN,Auto,5,"Santa Cruz",
134,KH8AF,440.92500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Tahoe City",
135,KH8AF,440.92500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Vacaville",
136,WB6OHV,440.95000,+,5.00000,Tone,192.8,88.5,023,NN,FM,5,"Gold Run",
137,KB6LED,440.95000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Hayward",
138,KB6HWZ,440.95000,+,5.00000,Tone,131.8,88.5,023,NN,FM,5,"Redding",
139,N6EUO,440.97500,+,5.00000,Tone,103.5,88.5,023,NN,FM,5,"Columbia",
140,N6TZG,440.97500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Mineral",
141,K6LOU,440.97500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Richmond",
142,WA6NHC,441.00000,,0.0,Tone,100.0,88.5,023,NN,FM,5,"Cameron Park",
143,K9GVF,441.02500,+,5.00000,Tone,156.7,88.5,023,NN,FM,5,"Campbell",
144,W6RCA,441.02500,+,5.00000,Tone,151.4,88.5,023,NN,FM,5,"Grass Valley",
145,N6TZG,441.02500,+,5.00000,Tone,123.0,88.5,023,NN,FM,5,"Westwood",
146,N6UUI,441.05000,+,5.00000,Tone,123.0,88.5,023,NN,FM,5,"Los Gatos",
147,WB6JWB,441.05000,+,5.00000,,88.5,88.5,023,NN,FM,5,"Paso Robles",
148,N6UUI,441.05000,+,5.00000,Tone,127.3,88.5,023,NN,FM,5,"Placerville",
149,WA6TOW,441.07500,+,5.00000,Tone,114.8,88.5,023,NN,FM,5,"Pacifica, Montara Mountain",
150,WB6JWB,441.07500,+,5.00000,Tone,94.8,88.5,023,NN,FM,5,"San Luis Obispo",
151,W6EBW,441.07500,+,5.00000,Tone,114.8,88.5,023,NN,FM,5,"Valley Springs",
152,KA6JJW,441.10000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Clearlake",
153,N6QDY,441.10000,+,5.00000,Tone,123.0,156.7,023,NN,FM,5,"El Dorado Hills",
154,K6GOD,441.10000,+,5.00000,Tone,203.5,88.5,023,NN,FM,5,"Palo Alto, Black Mountain",
155,K6GOD,441.10000,+,5.00000,Tone,203.5,114.8,023,NN,FM,5,"San Jose, Alum Rock Park",
156,NC6R,441.12500,+,5.00000,Tone,156.7,88.5,023,NN,FM,5,"Angels Camp",
157,NC6R,441.12500,+,5.00000,Tone,127.3,88.5,023,NN,FM,5,"Esparto",
158,KC6WXO,441.12500,+,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Fremont",
159,KC6UDC,441.12500,+,5.00000,Tone,123.0,88.5,023,NN,FM,5,"Prunedale",
160,KA6CHJ,441.15000,+,5.00000,Tone,77.0,88.5,023,NN,FM,5,"Fairfield",
161,KC6BJO,441.15000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"San Jose",
162,KG6ZTE,441.17500,+,5.00000,Tone,123.0,88.5,023,NN,FM,5,"Citrus Heights",
163,W6WGZ,441.17500,+,5.00000,Tone,146.2,88.5,023,NN,FM,5,"Oakhurst, Deadwood Peak",
164,KF6FWO,441.17500,+,5.00000,Tone,103.5,88.5,023,NN,FM,5,"San Jose",
165,N7VXB,441.17500,+,5.00000,Tone,107.2,88.5,023,NN,FM,5,"Tahoe City",
166,N6GVI,441.20000,+,5.00000,,88.5,88.5,023,NN,FM,5,"Concord",
167,K6PRN,441.22500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Alturas, Likely Mountain",
168,N6YBH,441.22500,+,5.00000,Tone,82.5,88.5,023,NN,FM,5,"Camino",
169,W6RCA,441.22500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Oakland",
170,KR6BEN,441.25000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Benicia",
171,WB6WTM,441.25000,+,5.00000,,88.5,88.5,023,NN,FM,5,"Los Altos",
172,W6LOA,441.25000,+,5.00000,Tone,94.8,88.5,023,NN,FM,5,"Placerville",
