Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
78,W6DRA,145.20000,-,0.60000,Tone,131.8,88.5,023,NN,FM,5,"Palm Springs, Tram 2",
79,KI6AIT,145.20000,-,0.60000,,88.5,88.5,023,NN,FM,5,"Santa Clarita",
80,KF6JOQ,145.21000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Bakersfield",
81,KD6YYJ,145.21000,-,0.60000,Tone,123.0,88.5,023,NN,FM,5,"San Jose",
82,N6HU,145.21000,-,0.60000,,88.5,88.5,023,NN,FM,5,"Soledad",
83,WA6SEK,145.21000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Tracy, Mt Delux",
84,N6IQY,145.21000,-,0.60000,Tone,127.3,127.3,023,NN,FM,5,"Yuba City",
85,N6SLD,145.22000,-,0.60000,Tone,114.8,88.5,023,NN,FM,5,"Barstow, Flash II",
86,N6SLD,145.22000,-,0.60000,Tone,103.5,88.5,023,NN,FM,5,"Lake Forest, Santiago Peak",
87,W6FSC,145.23000,-,0.60000,Tone,141.3,88.5,023,NN,FM,5,"Fresno, Bear Mountain",
88,N6NFI,145.23000,-,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Palo Alto",
89,KC6MHT,145.23000,-,0.60000,Tone,162.2,88.5,023,NN,FM,5,"Sacramento",
90,WD6EBY,145.24000,-,0.60000,Tone,127.3,127.3,023,NN,FM,5,"Chatsworth, Chatsworth Peak",
91,WA6HYQ,145.24000,-,0.60000,Tone,123.0,123.0,023,NN,FM,5,"La Mesa",
92,NK6S,145.24000,-,0.60000,Tone,91.5,88.5,023,NN,FM,5,"Sherman Oaks",
93,K6SOA,145.24000,-,0.60000,Tone,110.9,88.5,023,NN,FM,5,"Trabuco Canyon",
94,KQ6RC,145.25000,-,0.60000,,88.5,88.5,023,NN,FM,5,"Hayward",
95,KJ6CE,145.25000,-,0.60000,Tone,141.3,88.5,023,NN,FM,5,"Meadow Lakes",
96,N6NA,145.25000,-,0.60000,Tone,162.2,88.5,023,NN,FM,5,"Sacramento",
97,N6NA,145.25000,-,0.60000,Tone,162.2,88.5,023,NN,FM,5,"Shingle Springs",
98,NA6MF,145.25000,-,0.60000,Tone,123.0,88.5,023,NN,FM,5,"Sunnyvale, Moffett Field",
99,KK6KD,145.26000,-,0.60000,Tone,107.2,88.5,023,NN,FM,5,"Chula Vista",
100,WA6FV,145.26000,-,0.60000,Tone,136.5,88.5,023,NN,FM,5,"Fountain Valley",
101,N6FDR,145.26000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Malibu, Paradise Cove",
102,AI6BX,145.26000,-,0.60000,Tone,123.0,123.0,023,NN,FM,5,"Redlands ",
103,W6SAR,145.27000,-,0.60000,Tone,156.7,156.7,023,NN,FM,5,"Auburn",
104,W6BY,145.27000,-,0.60000,Tone,88.5,88.5,023,NN,FM,5,"Lemoore",
105,W6ASH,145.27000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Mountain View, El Camino Hospital",
106,KN6OK,145.28000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Camarillo",
107,K6GAO,145.28000,-,0.60000,Tone,107.2,88.5,023,NN,FM,5,"Engineer Springs, Hi-Pass",
108,W6ZN,145.28000,-,0.60000,Tone,74.4,74.4,023,NN,FM,5,"Escondido, Palomar Mountain",
109,W6CTR,145.28000,-,0.60000,Tone,151.4,88.5,023,NN,FM,5,"Fountain Valley",
110,K6FCC,145.28000,-,0.60000,Tone,127.3,88.5,023,NN,FM,5,"Santa Monica",
111,WR6AZN,145.28000,-,0.60000,Tone,131.8,88.5,023,NN,FM,5,"Wrightwood, Table Mountain",
112,KB6LED,145.29000,-,0.60000,Tone,131.8,88.5,023,NN,FM,5,"Berkeley, Grizzly Peak",
113,W6SCR,145.29000,-,0.60000,Tone,110.9,88.5,023,NN,FM,5,"Chico",
114,KK6PHE,145.29000,-,0.60000,Tone,94.8,88.5,023,NN,FM,5,"Maricopa",
115,K6DPB,145.29000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Moccasin",
116,W6MAC,145.29000,-,0.60000,Tone,88.5,88.5,023,NN,FM,5,"Redding",
117,KC6WRD,145.29000,-,0.60000,,88.5,88.5,023,NN,FM,5,"San Luis Obispo",
118,W6TUW,145.29000,-,0.60000,Tone,94.8,88.5,023,NN,FM,5,"Watsonville",
119,K6CPT,145.30000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Altadena, Mt Disappointment",
120,KD6RSQ,145.30000,-,0.60000,Tone,88.5,88.5,023,NN,FM,5,"Ramona",
121,K6IOK,145.31000,-,0.60000,Tone,114.8,88.5,023,NN,FM,5,"Auburn",
